layer_idx,clean_acc,perturbed_acc,delta,dr_de
0,0.3676000520586967,0.3657014902681112,0.0018985617905855068,0.0018985617905855068
1,0.3676000520586967,0.35805610604584215,0.009543946012854576,0.009543946012854576
2,0.3676000520586967,0.3748544123023748,-0.007254360243678093,-0.007254360243678093
3,0.3676000520586967,0.366928032040596,0.0006720200181007385,0.0006720200181007385
4,0.3676000520586967,0.36826598197221755,-0.0006659299135208241,-0.0006659299135208241
5,0.3676000520586967,0.3661098852753639,0.0014901667833328025,0.0014901667833328025
6,0.3676000520586967,0.36641481034457685,0.0011852417141198779,0.0011852417141198779
7,0.3676000520586967,0.36727422252297404,0.00032582953572268814,0.00032582953572268814
8,0.3676000520586967,0.37439622059464456,-0.006796168535947833,-0.006796168535947833
9,0.3676000520586967,0.3725569561123848,-0.004956904053688094,-0.004956904053688094
10,0.3676000520586967,0.37230107337236407,-0.004701021313667342,-0.004701021313667342
11,0.3676000520586967,0.3716924022883177,-0.004092350229620956,-0.004092350229620956
12,0.3676000520586967,0.36903987228870394,-0.001439820230007216,-0.001439820230007216
13,0.3676000520586967,0.3608254373073578,0.006774614751338948,0.006774614751338948
14,0.3676000520586967,0.3650180581957102,0.0025819938629865202,0.0025819938629865202
15,0.3676000520586967,0.36477076187729834,0.0028292901813983806,0.0028292901813983806
16,0.3676000520586967,0.3683526188135147,-0.000752566754817996,-0.000752566754817996
17,0.3676000520586967,0.36472352482378484,0.0028765272349118853,0.0028765272349118853
18,0.3676000520586967,0.3655466090887785,0.0020534429699182177,0.0020534429699182177
19,0.3676000520586967,0.36808610446751117,-0.00048605240881444134,-0.00048605240881444134
20,0.3676000520586967,0.36684633120894433,0.0007537208497523928,0.0007537208497523928
21,0.3676000520586967,0.367994474619627,-0.0003944225609302521,-0.0003944225609302521
22,0.3676000520586967,0.3689425840973854,-0.0013425320386886708,-0.0013425320386886708
23,0.3676000520586967,0.3662131428718567,0.0013869091868400352,0.0013869091868400352
