layer_idx,clean_acc,perturbed_acc,delta,dr_de
0,0.11147584015142767,0.11021535411375052,0.0012604860376771443,0.0012604860376771443
1,0.11147584015142767,0.11238940153136223,-0.0009135613799345632,-0.0009135613799345632
2,0.11147584015142767,0.11290239542282654,-0.0014265552713988716,-0.0014265552713988716
3,0.11147584015142767,0.11209013553205224,-0.0006142953806245743,-0.0006142953806245743
4,0.11147584015142767,0.10991385109431102,0.0015619890571166445,0.0015619890571166445
5,0.11147584015142767,0.11253333505972647,-0.0010574949082988033,-0.0010574949082988033
6,0.11147584015142767,0.11186182348267013,-0.00038598333124245654,-0.00038598333124245654
7,0.11147584015142767,0.11167641830859462,-0.00020057815716695293,-0.00020057815716695293
8,0.11147584015142767,0.11194396147850874,-0.00046812132708107246,-0.00046812132708107246
9,0.11147584015142767,0.11038966428993129,0.001086175861496383,0.001086175861496383
10,0.11147584015142767,0.11200389220341748,-0.0005280520519898163,-0.0005280520519898163
11,0.11147584015142767,0.11123317065050768,0.00024266950091998696,0.00024266950091998696
