layer_idx,clean_acc,perturbed_acc,delta,dr_de
0,0.21394294170289072,0.21359752717521302,0.0003454145276776954,0.0003454145276776954
1,0.21394294170289072,0.2139077157370764,3.522596581431725e-05,3.522596581431725e-05
2,0.21394294170289072,0.21345964530214018,0.00048329640075053804,0.00048329640075053804
3,0.21394294170289072,0.2130322734495337,0.0009106682533570054,0.0009106682533570054
4,0.21394294170289072,0.2131156968254487,0.0008272448774420127,0.0008272448774420127
5,0.21394294170289072,0.2147538847243709,-0.0008109430214801872,-0.0008109430214801872
6,0.21394294170289072,0.21347839122673803,0.00046455047615268086,0.00046455047615268086
7,0.21394294170289072,0.21442706748278512,-0.000484125779894401,-0.000484125779894401
8,0.21394294170289072,0.21388875181944797,5.418988344274567e-05,5.418988344274567e-05
9,0.21394294170289072,0.21397828399964852,-3.5342296757806535e-05,-3.5342296757806535e-05
10,0.21394294170289072,0.21385253981096924,9.040189192147108e-05,9.040189192147108e-05
11,0.21394294170289072,0.2141614095783865,-0.00021846787549578695,-0.00021846787549578695
