layer_id,clean_mean_target_prob,perturbed_mean_target_prob,delta_prob,dr_de
0,0.11942302538082003,0.10893620662391186,0.01048681875690817,-0.01048681875690817
1,0.11942302538082003,0.10742251556366682,0.012000509817153213,-0.012000509817153213
2,0.11942302538082003,0.11485691769048571,0.004566107690334317,-0.004566107690334317
3,0.11942302538082003,0.11639110576361418,0.00303191961720585,-0.00303191961720585
4,0.11942302538082003,0.11525127496570349,0.00417175041511654,-0.00417175041511654
5,0.11942302538082003,0.11614885916933418,0.0032741662114858516,-0.0032741662114858516
6,0.11942302538082003,0.12688799668103456,-0.007464971300214535,0.007464971300214535
7,0.11942302538082003,0.119606579747051,-0.00018355436623096466,0.00018355436623096466
8,0.11942302538082003,0.12002334222197533,-0.0006003168411553017,0.0006003168411553017
9,0.11942302538082003,0.11507239267230034,0.004350632708519694,-0.004350632708519694
10,0.11942302538082003,0.12082482781261206,-0.0014018024317920263,0.0014018024317920263
11,0.11942302538082003,0.11679246090352535,0.002630564477294678,-0.002630564477294678
12,0.11942302538082003,0.12489294400438666,-0.005469918623566633,0.005469918623566633
13,0.11942302538082003,0.1192133292555809,0.00020969612523913383,-0.00020969612523913383
14,0.11942302538082003,0.1165219359099865,0.0029010894708335344,-0.0029010894708335344
15,0.11942302538082003,0.11964441537857055,-0.00022138999775052348,0.00022138999775052348
16,0.11942302538082003,0.11547960042953491,0.003943424951285121,-0.003943424951285121
17,0.11942302538082003,0.11572133228182793,0.003701693098992098,-0.003701693098992098
18,0.11942302538082003,0.1195132115855813,-9.018620476126948e-05,9.018620476126948e-05
19,0.11942302538082003,0.11575036216527224,0.0036726632155477945,-0.0036726632155477945
20,0.11942302538082003,0.11778921503573656,0.0016338103450834751,-0.0016338103450834751
21,0.11942302538082003,0.11776000140234828,0.0016630239784717477,-0.0016630239784717477
22,0.11942302538082003,0.11971633089706302,-0.0002933055162429865,0.0002933055162429865
23,0.11942302538082003,0.11798226004466414,0.0014407653361558914,-0.0014407653361558914
