layer_idx,clean_acc,perturbed_acc,delta,dr_de
0,0.07324696569703519,0.0731933350674808,5.363062955439368e-05,5.363062955439368e-05
1,0.07324696569703519,0.06800858685746788,0.005238378839567306,0.005238378839567306
2,0.07324696569703519,0.08173698135651648,-0.008490015659481293,-0.008490015659481293
3,0.07324696569703519,0.07205703654326498,0.0011899291537702111,0.0011899291537702111
4,0.07324696569703519,0.06996334791183471,0.0032836177852004766,0.0032836177852004766
5,0.07324696569703519,0.06836786777712404,0.004879097919911146,0.004879097919911146
6,0.07324696569703519,0.06686682156287134,0.006380144134163851,0.006380144134163851
7,0.07324696569703519,0.07824050527997314,-0.004993539582937953,-0.004993539582937953
8,0.07324696569703519,0.08016185606829822,-0.006914890371263027,-0.006914890371263027
9,0.07324696569703519,0.07253957162611187,0.0007073940709233228,0.0007073940709233228
10,0.07324696569703519,0.07677671825513244,-0.003529752558097246,-0.003529752558097246
11,0.07324696569703519,0.0814597543561831,-0.008212788659147915,-0.008212788659147915
12,0.07324696569703519,0.07116547552868724,0.002081490168347952,0.002081490168347952
13,0.07324696569703519,0.07615884626284242,-0.002911880565807226,-0.002911880565807226
14,0.07324696569703519,0.07115952363237739,0.002087442064657802,0.002087442064657802
15,0.07324696569703519,0.07311864085495472,0.0001283248420804739,0.0001283248420804739
16,0.07324696569703519,0.07114437883719801,0.002102586859837177,0.002102586859837177
17,0.07324696569703519,0.07195847001858055,0.0012884956784546403,0.0012884956784546403
18,0.07324696569703519,0.07239723461680114,0.000849731080234048,0.000849731080234048
19,0.07324696569703519,0.07232048660516739,0.000926479091867799,0.000926479091867799
20,0.07324696569703519,0.07309230281971395,0.00015466287732124329,0.00015466287732124329
21,0.07324696569703519,0.07372142428066582,-0.000474458583630627,-0.000474458583630627
22,0.07324696569703519,0.07177190803922713,0.0014750576578080599,0.0014750576578080599
23,0.07324696569703519,0.07385295843705535,-0.0006059927400201559,-0.0006059927400201559
