layer_id,reliability_r_l,structural_entropy_S_l,D_R,delta_prob,combined_layer_risk_score,intervention_flag,intervention_type,intervention_reason
0,0.888263,0.118488,0.439793,0.021809,0.170598,1,regularization,High structural entropy (0.1185) and high bottleneck sensitivity (0.4398)
1,0.919356,0.084082,0.424919,0.012701,0.119809,1,regularization,High structural entropy (0.0841) and high bottleneck sensitivity (0.4249)
2,0.993226,0.006797,0.393317,0.007571,0.009471,1,regularization,High structural entropy (0.0068) and high bottleneck sensitivity (0.3933)
3,0.998705,0.001296,0.391159,0.011811,0.001803,1,regularization,High structural entropy (0.0013) and high bottleneck sensitivity (0.3912)
4,0.997849,0.002153,0.391494,0.004592,0.002996,1,regularization,High structural entropy (0.0022) and high bottleneck sensitivity (0.3915)
5,0.997750,0.002253,0.391533,0.003105,0.003134,1,regularization,High structural entropy (0.0023) and high bottleneck sensitivity (0.3915)
6,0.997054,0.002950,0.391806,0.003168,0.004106,1,regularization,High structural entropy (0.0030) and high bottleneck sensitivity (0.3918)
7,0.995148,0.004864,0.392557,-0.004903,0.006773,1,regularization,High structural entropy (0.0049) and high bottleneck sensitivity (0.3926)
8,0.995088,0.004924,0.392580,0.005702,0.006857,1,regularization,High structural entropy (0.0049) and high bottleneck sensitivity (0.3926)
9,0.995287,0.004724,0.392502,0.009842,0.006579,1,regularization,High structural entropy (0.0047) and high bottleneck sensitivity (0.3925)
10,0.995446,0.004565,0.392439,-0.002404,0.006356,1,regularization,High structural entropy (0.0046) and high bottleneck sensitivity (0.3924)
11,0.995962,0.004047,0.392236,-0.000014,0.005634,1,regularization,High structural entropy (0.0040) and high bottleneck sensitivity (0.3922)
12,0.995882,0.004126,0.392267,-0.004006,0.005745,1,regularization,High structural entropy (0.0041) and high bottleneck sensitivity (0.3923)
13,0.995148,0.004864,0.392557,-0.005016,0.006773,1,regularization,High structural entropy (0.0049) and high bottleneck sensitivity (0.3926)
14,0.994454,0.005562,0.392831,-0.000526,0.007746,1,regularization,High structural entropy (0.0056) and high bottleneck sensitivity (0.3928)
15,0.994275,0.005741,0.392901,0.001857,0.007997,1,regularization,High structural entropy (0.0057) and high bottleneck sensitivity (0.3929)
16,0.992513,0.007515,0.393599,0.000805,0.010473,1,regularization,High structural entropy (0.0075) and high bottleneck sensitivity (0.3936)
17,0.988071,0.012000,0.395368,0.001304,0.016745,1,regularization,High structural entropy (0.0120) and high bottleneck sensitivity (0.3954)
18,0.985023,0.015090,0.396592,-0.000617,0.021075,1,regularization,High structural entropy (0.0151) and high bottleneck sensitivity (0.3966)
19,0.979873,0.020333,0.398676,0.003018,0.028439,1,regularization,High structural entropy (0.0203) and high bottleneck sensitivity (0.3987)
20,0.971587,0.028825,0.402076,0.001662,0.040414,1,regularization,High structural entropy (0.0288) and high bottleneck sensitivity (0.4021)
21,0.854755,0.156940,0.457034,-0.000066,0.228667,1,regularization,High structural entropy (0.1569) and high bottleneck sensitivity (0.4570)
22,0.840444,0.173824,0.464816,-0.000262,0.254621,1,regularization,High structural entropy (0.1738) and high bottleneck sensitivity (0.4648)
23,0.767992,0.263976,0.508667,0.001085,0.398252,1,regularization,High structural entropy (0.2640) and high bottleneck sensitivity (0.5087)
