layer_id,clean_mean_target_prob,perturbed_mean_target_prob,empirical_delta_prob,dr_de
0,0.22218215942382813,0.18459457397460938,0.03758758544921875,-0.03758758544921875
1,0.22218215942382813,0.18942794799804688,0.03275421142578125,-0.03275421142578125
2,0.22218215942382813,0.19347091674804687,0.028711242675781262,-0.028711242675781262
3,0.22218215942382813,0.2091851806640625,0.012996978759765632,-0.012996978759765632
4,0.22218215942382813,0.2129676055908203,0.009214553833007816,-0.009214553833007816
5,0.22218215942382813,0.21795730590820311,0.0042248535156250155,-0.0042248535156250155
6,0.22218215942382813,0.20996910095214844,0.012213058471679694,-0.012213058471679694
7,0.22218215942382813,0.22121673583984375,0.0009654235839843817,-0.0009654235839843817
8,0.22218215942382813,0.21437759399414064,0.007804565429687493,-0.007804565429687493
9,0.22218215942382813,0.21452278137207031,0.007659378051757815,-0.007659378051757815
10,0.22218215942382813,0.2167022705078125,0.0054798889160156405,-0.0054798889160156405
11,0.22218215942382813,0.21769798278808594,0.0044841766357421875,-0.0044841766357421875
12,0.22218215942382813,0.21869827270507813,0.0034838867187499956,-0.0034838867187499956
13,0.22218215942382813,0.21946929931640624,0.0027128601074218883,-0.0027128601074218883
14,0.22218215942382813,0.21728599548339844,0.0048961639404296875,-0.0048961639404296875
15,0.22218215942382813,0.22178031921386718,0.00040184020996095193,-0.00040184020996095193
16,0.22218215942382813,0.2201819610595703,0.002000198364257827,-0.002000198364257827
17,0.22218215942382813,0.22054428100585938,0.0016378784179687522,-0.0016378784179687522
18,0.22218215942382813,0.21812286376953124,0.004059295654296885,-0.004059295654296885
19,0.22218215942382813,0.22202804565429687,0.00015411376953125555,-0.00015411376953125555
20,0.22218215942382813,0.21976364135742188,0.00241851806640625,-0.00241851806640625
21,0.22218215942382813,0.2206255340576172,0.0015566253662109286,-0.0015566253662109286
22,0.22218215942382813,0.22262161254882812,-0.0004394531249999889,0.0004394531249999889
23,0.22218215942382813,0.2213030242919922,0.0008791351318359342,-0.0008791351318359342
