layer_idx,clean_acc,perturbed_acc,delta,dr_de
0,0.09695893782190979,0.08480490567162632,0.012154032150283461,0.012154032150283461
1,0.09695893782190979,0.08517086673527956,0.011788071086630228,0.011788071086630228
2,0.09695893782190979,0.09893858726136387,-0.0019796494394540842,-0.0019796494394540842
3,0.09695893782190979,0.08661610730923712,0.010342830512672666,0.010342830512672666
4,0.09695893782190979,0.09364382196217776,0.003315115859732029,0.003315115859732029
5,0.09695893782190979,0.094730038754642,0.002228899067267781,0.002228899067267781
6,0.09695893782190979,0.1031421017833054,-0.006183163961395621,-0.006183163961395621
7,0.09695893782190979,0.10244621825404465,-0.005487280432134867,-0.005487280432134867
8,0.09695893782190979,0.10178491468541324,-0.004825976863503459,-0.004825976863503459
9,0.09695893782190979,0.09545821491628885,0.0015007229056209354,0.0015007229056209354
10,0.09695893782190979,0.09212376438081264,0.004835173441097143,0.004835173441097143
11,0.09695893782190979,0.1002072764094919,-0.0032483385875821114,-0.0032483385875821114
12,0.09695893782190979,0.09520012172870337,0.0017588160932064112,0.0017588160932064112
13,0.09695893782190979,0.1006257520057261,-0.0036668141838163137,-0.0036668141838163137
14,0.09695893782190979,0.10044944295659661,-0.003490505134686822,-0.003490505134686822
15,0.09695893782190979,0.09286678000353277,0.004092157818377018,0.004092157818377018
16,0.09695893782190979,0.09700069380924106,-4.175598733127672e-05,-4.175598733127672e-05
17,0.09695893782190979,0.09475185382179915,0.0022070840001106318,0.0022070840001106318
18,0.09695893782190979,0.0939373356755823,0.00302160214632749,0.00302160214632749
19,0.09695893782190979,0.09347195173613727,0.0034869860857725116,0.0034869860857725116
20,0.09695893782190979,0.09562280760146677,0.0013361302204430159,0.0013361302204430159
21,0.09695893782190979,0.09573817057535053,0.0012207672465592567,0.0012207672465592567
22,0.09695893782190979,0.09355840925127268,0.003400528570637107,0.003400528570637107
23,0.09695893782190979,0.09656230974942445,0.00039662807248533327,0.00039662807248533327
